	reaction	equ	g0
PGP120abcpp_num1	PGP120abcpp_num1	atp_c + h2o_c + pgp120_c --> adp_c + h_c + pgp120_e + pi_c	-30.61
PGP140abcpp_num1	PGP140abcpp_num1	atp_c + h2o_c + pgp140_c --> adp_c + h_c + pgp140_e + pi_c	-30.61
PGP141abcpp_num1	PGP141abcpp_num1	atp_c + h2o_c + pgp141_c --> adp_c + h_c + pgp141_e + pi_c	-30.61
PGP160abcpp_num1	PGP160abcpp_num1	atp_c + h2o_c + pgp160_c --> adp_c + h_c + pgp160_e + pi_c	-30.61
PGP161abcpp_num1	PGP161abcpp_num1	atp_c + h2o_c + pgp161_c --> adp_c + h_c + pgp161_e + pi_c	-30.61
PGP180abcpp_num1	PGP180abcpp_num1	atp_c + h2o_c + pgp180_c --> adp_c + h_c + pgp180_e + pi_c	-30.61
PGP181abcpp_num1	PGP181abcpp_num1	atp_c + h2o_c + pgp181_c --> adp_c + h_c + pgp181_e + pi_c	-30.61
PHEMEabcpp_num1	PHEMEabcpp_num1	atp_c + h2o_c + pheme_c --> adp_c + h_c + pheme_e + pi_c	-30.61
PHEMEtiex	PHEMEtiex	pheme_c --> pheme_e	0.0
PHEt2rpp	PHEt2rpp	h_e + phe__L_e --> h_c + phe__L_c	0.0
PNTOt4pp	PNTOt4pp	na1_e + pnto__R_e --> na1_c + pnto__R_c	0.0
PROabcpp	PROabcpp	atp_c + h2o_c + pro__L_e --> adp_c + h_c + pi_c + pro__L_c	-30.61
PROGLYabcpp	PROGLYabcpp	atp_c + h2o_c + progly_e --> adp_c + h_c + pi_c + progly_c	-30.61
PROt3pp	PROt3pp	h_e + pro__L_c --> h_c + pro__L_e	0.0
PROt4pp	PROt4pp	na1_e + pro__L_e --> na1_c + pro__L_c	0.0
PSERtex_num1	PSERtex_num1	pser__L_e --> pser__L_c	0.0
PTRCORNt7pp	PTRCORNt7pp	orn_c + ptrc_e --> orn_e + ptrc_c	0.0
PTRCt2pp	PTRCt2pp	h_e + ptrc_e --> h_c + ptrc_c	0.0
PYDXtpp	PYDXtpp	pydx_e --> pydx_c	0.0
PYRt2rpp	PYRt2rpp	h_e + pyr_e --> h_c + pyr_c	0.0
RIBabcpp	RIBabcpp	atp_c + h2o_c + rib__D_e --> adp_c + h_c + pi_c + rib__D_c	-30.61
SBTptspp	SBTptspp	pep_c + sbt__D_e --> pyr_c + sbt6p_c	-45.8
SERabcpp	SERabcpp	atp_c + h2o_c + ser__L_e --> adp_c + h_c + pi_c + ser__L_c	-30.61
SERt3pp	SERt3pp	h_e + ser__L_c --> h_c + ser__L_e	0.0
SKMt2pp	SKMt2pp	h_e + skm_e --> h_c + skm_c	0.0
SPMDabcpp	SPMDabcpp	atp_c + h2o_c + spmd_e --> adp_c + h_c + pi_c + spmd_c	-30.61
SPMDt3pp	SPMDt3pp	h_e + spmd_c --> h_c + spmd_e	0.0
SUCCt2_2pp	SUCCt2_2pp	2.0 h_e + succ_e --> 2.0 h_c + succ_c	0.0
SUCCt2_3pp	SUCCt2_3pp	3.0 h_e + succ_e --> 3.0 h_c + succ_c	0.0
SUCCt3pp	SUCCt3pp	h_e + succ_c --> h_c + succ_e	0.0
SUCptspp	SUCptspp	pep_c + sucr_e --> pyr_c + suc6p_c	-49.3
THMabcpp	THMabcpp	atp_c + h2o_c + thm_e --> adp_c + h_c + pi_c + thm_c	-30.61
THMDt2pp	THMDt2pp	h_e + thymd_e --> h_c + thymd_c	0.0
THMDt2rpp	THMDt2rpp	h_e + thymd_e --> h_c + thymd_c	0.0
THRabcpp	THRabcpp	atp_c + h2o_c + thr__L_e --> adp_c + h_c + pi_c + thr__L_c	-30.61
THRt2pp	THRt2pp	h_e + thr__L_c --> h_c + thr__L_e	0.0
TREabcpp	TREabcpp	atp_c + h2o_c + tre_e --> adp_c + h_c + pi_c + tre_c	-30.61
TREptsp_num1	TREptsp_num1	pep_c + tre_c --> pyr_c + tre6p_c	-50.7
TREptspp_num1	TREptspp_num1	pep_c + tre_e --> pyr_c + tre6p_c	-50.7
TRPabcpp	TRPabcpp	atp_c + h2o_c + trp__L_e --> adp_c + h_c + pi_c + trp__L_c	-30.61
TRPt2rpp	TRPt2rpp	h_e + trp__L_e --> h_c + trp__L_c	0.0
TYRt2rpp	TYRt2rpp	h_e + tyr__L_e --> h_c + tyr__L_c	0.0
URAt2pp_num1	URAt2pp_num1	h_e + ura_e --> h_c + ura_c	0.0
URAt2rpp_num1	URAt2rpp_num1	h_e + ura_e --> h_c + ura_c	0.0
UREAtpp	UREAtpp	urea_e --> urea_c	0.0
URIt2pp	URIt2pp	h_e + uri_e --> h_c + uri_c	0.0
URIt2rpp	URIt2rpp	h_e + uri_e --> h_c + uri_c	0.0
VALt2rpp	VALt2rpp	h_e + val__L_e --> h_c + val__L_c	0.0
XANt2pp_num1	XANt2pp_num1	h_e + xan_e --> h_c + xan_c	0.0
XANtpp	XANtpp	xan_e --> xan_c	0.0
XTSNt2rpp	XTSNt2rpp	h_e + xtsn_e --> h_c + xtsn_c	0.0
XYLUt2pp	XYLUt2pp	h_e + xylu__L_e --> h_c + xylu__L_c	0.0
CO2tpp	CO2tpp	co2_c --> co2_e	0.0
FORt2pp	FORt2pp	for_e + h_e --> for_c + h_c	0.0
Biotinabcpp	Biotinabcpp	atp_c + btn_c + h2o_c --> adp_c + btn_e + h_c + pi_c	-30.61
Biotint3pp	Biotint3pp	btn_c + h_e --> btn_e + h_c	0.0
Biotintpp	Biotintpp	btn_e --> btn_c	0.0
ALATRS_num1	ALATRS_num1	ala__L_c + atp_c + trnaala_c --> alatrna_c + amp_c + ppi_c	-0.0
ARGTRS_num1	ARGTRS_num1	arg__L_c + atp_c + trnaarg_c --> amp_c + argtrna_c + ppi_c	-0.0
ASNTRS_num1	ASNTRS_num1	asn__L_c + atp_c + trnaasn_c --> amp_c + asntrna_c + ppi_c	-0.0
ASPTRS	ASPTRS	asp__L_c + atp_c + trnaasp_c --> amp_c + asptrna_c + ppi_c	-0.0
CYSTRS_num1	CYSTRS_num1	atp_c + cys__L_c + trnacys_c --> amp_c + cystrna_c + ppi_c	-0.0
FMETTRS_num1	FMETTRS_num1	10fthf_c + mettrna_c --> fmettrna_c + h_c + thf_c	-0.0
GLNTRS	GLNTRS	atp_c + gln__L_c + trnagln_c --> amp_c + glntrna_c + ppi_c	-0.0
GLUTRS_num1	GLUTRS_num1	atp_c + glu__L_c + trnaglu_c --> amp_c + glutrna_c + ppi_c	-0.0
GLYTRS_num1	GLYTRS_num1	atp_c + gly_c + trnagly_c --> amp_c + glytrna_c + ppi_c	-0.0
HISTRS	HISTRS	atp_c + his__L_c + trnahis_c --> amp_c + histrna_c + ppi_c	-0.0
ILETRS_num1	ILETRS_num1	atp_c + ile__L_c + trnaile_c --> amp_c + iletrna_c + ppi_c	-0.0
LEUTRS_num1	LEUTRS_num1	atp_c + leu__L_c + trnaleu_c --> amp_c + leutrna_c + ppi_c	-0.0
LYSTRS_num1	LYSTRS_num1	atp_c + lys__L_c + trnalys_c --> amp_c + lystrna_c + ppi_c	-0.0
METTRS_num1	METTRS_num1	atp_c + met__L_c + trnamet_c --> amp_c + mettrna_c + ppi_c	-0.0
PHETRS	PHETRS	atp_c + phe__L_c + trnaphe_c --> amp_c + phetrna_c + ppi_c	-0.0
PROTRS_num1	PROTRS_num1	atp_c + pro__L_c + trnapro_c --> amp_c + ppi_c + protrna_c	-0.0
SERTRS_num1	SERTRS_num1	atp_c + ser__L_c + trnaser_c --> amp_c + ppi_c + sertrna_c	-0.0
SERTRS2	SERTRS2	atp_c + ser__L_c + trnasecys_c --> amp_c + ppi_c + sertrna_c	-0.0
THRTRS_num1	THRTRS_num1	atp_c + thr__L_c + trnathr_c --> amp_c + ppi_c + thrtrna_c	-0.0
TRPTRS	TRPTRS	atp_c + trnatrp_c + trp__L_c --> amp_c + ppi_c + trptrna_c	-0.0
TYRTRS	TYRTRS	atp_c + trnatyr_c + tyr__L_c --> amp_c + ppi_c + tyrtrna_c	-0.0
VALTRS_num1	VALTRS_num1	atp_c + trnaval_c + val__L_c --> amp_c + ppi_c + valtrna_c	-0.0
ANPRT	ANPRT	anth_c + prpp_c --> ppi_c + pran_c	-65
ANS	ANS	chor_c + gln__L_c --> anth_c + glu__L_c + h_c + pyr_c	-111
CHORM	CHORM	chor_c --> pphn_c	-49
CHORS	CHORS	3psme_c --> chor_c + pi_c	-47
DDPA	DDPA	e4p_c + h2o_c + pep_c --> 2dda7p_c + pi_c	-74.3
DHQS	DHQS	2dda7p_c --> 3dhq_c + pi_c	-151
DHQTi	DHQTi	3dhq_c --> 3dhsk_c + h2o_c	-5.3
IGPS	IGPS	2cpr5p_c + h_c --> 3ig3p_c + co2_c + h2o_c	-72
PHETA1_num1	PHETA1_num1	glu__L_c + phpyr_c --> akg_c + phe__L_c	0.4
PPND	PPND	nad_c + pphn_c --> 34hpp_c + co2_c + nadh_c	-11
PPNDH	PPNDH	h_c + pphn_c --> co2_c + h2o_c + phpyr_c	-64
PRAIi	PRAIi	pran_c --> 2cpr5p_c	-9.8
PSCVT	PSCVT	pep_c + skm5p_c --> 3psme_c + pi_c	-15.9
SHK3Dr_num1	SHK3Dr_num1	3dhsk_c + h_c + nadph_c --> nadp_c + skm_c	-5.7
SHKK	SHKK	atp_c + skm_c --> adp_c + h_c + skm5p_c	-26.3
TRPS1	TRPS1	3ig3p_c + ser__L_c --> g3p_c + h2o_c + trp__L_c	-31.4
TRPS2	TRPS2	indole_c + ser__L_c --> h2o_c + trp__L_c	-50.6
TRPS3	TRPS3	3ig3p_c --> g3p_c + indole_c	19.2
TYRRRpp	TYRRRpp	atp_c + h2o_c + tyr__L_e --> adp_c + h_c + pi_c + tyr__L_c	-30.61
TYRTA_num1	TYRTA_num1	34hpp_c + glu__L_c --> akg_c + tyr__L_c	-0.1
INPSHE	INPSHE	2cpr5p_c --> 3ig3p_c + co2_c + h2o_c	-72
AGPSC	AGPSC	glyc3p_c + 0.004 hdeACP_c + 0.004 myrsACP_c + 0.01 ocdcaACP_c + 0.544 octeACP_c + 0.438 palmACP_c --> 1ag3p_SC_c + ACP_c	-0.0
ATPM	ATPM	atp_c + h2o_c --> adp_c + h_c + pi_c	-30.61
DNA	DNA	4.4671 atp_c + 0.75257 damp_c + 0.87632 dcmp_c + 0.87632 dgmp_c + 0.75257 dtmp_c + 1.2103 h2o_c --> 4.4671 amp_c + dna_c + 4.4671 h_c + 4.4671 ppi_c	-0.0
PA	PA	1ag3p_SC_c + 0.004 hdeACP_c + 0.004 myrsACP_c + 0.01 ocdcaACP_c + 0.544 octeACP_c + 0.438 palmACP_c --> ACP_c + pa_c	0.0
ACHBS	ACHBS	2obut_c + h_c + pyr_c --> 2ahbut_c + co2_c	-17
ACLS	ACLS	h_c + 2.0 pyr_c --> alac__S_c + co2_c	-25
DHAD1	DHAD1	23dhmb_c --> 3mob_c + h2o_c	-36.9
DHAD2	DHAD2	23dhmp_c --> 3mop_c + h2o_c	-36.9
ILETA	ILETA	3mop_c + glu__L_c --> akg_c + ile__L_c	6.2
IPMD	IPMD	3c2hmp_c + nad_c --> 3c4mop_c + h_c + nadh_c	14.5
IPPMIa	IPPMIa	3c2hmp_c --> 2ippm_c + h2o_c	-3.7
IPPMIb	IPPMIb	2ippm_c + h2o_c --> 3c3hmp_c	-0.4
IPPS	IPPS	3mob_c + accoa_c + h2o_c --> 3c3hmp_c + coa_c + h_c	-27.0
KARA1	KARA1	23dhmb_c + nadp_c --> alac__S_c + h_c + nadph_c	14.8
KARA2	KARA2	2ahbut_c + h_c + nadph_c --> 23dhmp_c + nadp_c	-14.8
OMCDC	OMCDC	3c4mop_c + h_c --> 4mop_c + co2_c	-13
THRD_L_num1	THRD_L_num1	thr__L_c --> 2obut_c + nh4_c	-24
VALTA	VALTA	3mob_c + glu__L_c --> akg_c + val__L_c	-1.4
LEUTAi	LEUTAi	4mop_c + glu__L_c --> akg_c + leu__L_c	-0.0
ALAR_reverse	ALAR_reverse	ala__D_c --> ala__L_c	0.0
ALATA_L_reverse	ALATA_L_reverse	akg_c + ala__L_c --> glu__L_c + pyr_c	-0.2
ASPTA_reverse	ASPTA_reverse	glu__L_c + oaa_c --> akg_c + asp__L_c	-2.8
ACHMSC_reverse	ACHMSC_reverse	ac_c + cyst__L_c + h_c --> achms_c + cys__L_c	74
ALCD19_reverse_num1	ALCD19_reverse_num1	glyc_c + nad_c --> glyald_c + h_c + nadh_c	35.0
AMANAPEr_reverse	AMANAPEr_reverse	acgam6p_c --> acmanap_c	2.2
ARAI_reverse_num1	ARAI_reverse_num1	rbl__L_c --> arab__L_c	-4.9
CBMKr_reverse	CBMKr_reverse	adp_c + cbp_c + 2.0 h_c --> atp_c + co2_c + nh4_c	-18
DHACOAH_reverse	DHACOAH_reverse	3hadpcoa_c --> 23dhacoa_c + h2o_c	-0.4
G3PD2_reverse	G3PD2_reverse	dhap_c + h_c + nadph_c --> glyc3p_c + nadp_c	-21.8
GLCATr_reverse	GLCATr_reverse	acglc__D_c + coa_c --> accoa_c + glc__D_c	1.7
GUI1_reverse	GUI1_reverse	fruur_c --> glcur_c	-0.6
HCO3E_reverse	HCO3E_reverse	h_c + hco3_c --> co2_c + h2o_c	9.5
HPYRI_reverse_num1	HPYRI_reverse_num1	2h3oppan_c --> hpyr_c	-1.6
MALGT_reverse	MALGT_reverse	tre_c --> malt_c	-0.4
MALTATr_reverse	MALTATr_reverse	acmalt_c + coa_c --> accoa_c + malt_c	3
MAN1PG_reverse	MAN1PG_reverse	gdpmann_c + ppi_c --> gtp_c + man1p_c	8.9
MAN6PI_reverse	MAN6PI_reverse	f6p_c --> man6p_c	1.4
MCITL2_reverse_num1	MCITL2_reverse_num1	pyr_c + succ_c --> micit_c	-0.0
MM_COA_ADD5_reverse	MM_COA_ADD5_reverse	adp_c + h_c + mmcoa__S_c + pi_c --> atp_c + hco3_c + ppcoa_c	6
PGMT_reverse	PGMT_reverse	g6p_c --> g1p_c	7.4
PMANM_reverse_num1	PMANM_reverse_num1	man6p_c --> man1p_c	4.4
UDPG4E_reverse	UDPG4E_reverse	udpgal_c --> udpg_c	-1.3
XYLI1_reverse	XYLI1_reverse	xylu__D_c --> xyl__D_c	-3.7
MCITD_reverse_num1	MCITD_reverse_num1	2mcacn_c + h2o_c --> 2mcit_c	2.9
ACOTA_reverse	ACOTA_reverse	acg5sa_c + glu__L_c --> acorn_c + akg_c	3.6
AGPR_reverse	AGPR_reverse	acg5p_c + h_c + nadph_c --> acg5sa_c + nadp_c + pi_c	-4.6
ARGSL_reverse	ARGSL_reverse	arg__L_c + fum_c --> argsuc_c	9
GLUNATF_reverse	GLUNATF_reverse	acglu_c + orn_c --> acorn_c + glu__L_c	-2.7
OCBT_reverse	OCBT_reverse	citr__L_c + h_c + pi_c --> cbp_c + orn_c	31.6
3OAR100_reverse	3OAR100_reverse	3hdecACP_c + nadp_c --> 3odecACP_c + h_c + nadph_c	0.0
3OAR120_reverse	3OAR120_reverse	3hddecACP_c + nadp_c --> 3oddecACP_c + h_c + nadph_c	0.0
3OAR140_reverse	3OAR140_reverse	3hmrsACP_c + nadp_c --> 3omrsACP_c + h_c + nadph_c	0.0
3OAR160_reverse	3OAR160_reverse	3hpalmACP_c + nadp_c --> 3opalmACP_c + h_c + nadph_c	0.0
3OAR180_reverse	3OAR180_reverse	3hoctaACP_c + nadp_c --> 3ooctdACP_c + h_c + nadph_c	0.0
3OAR40_reverse	3OAR40_reverse	3haACP_c + nadp_c --> actACP_c + h_c + nadph_c	0.0
3OAR60_reverse	3OAR60_reverse	3hhexACP_c + nadp_c --> 3ohexACP_c + h_c + nadph_c	0.0
3OAR80_reverse	3OAR80_reverse	3hoctACP_c + nadp_c --> 3ooctACP_c + h_c + nadph_c	0.0
ALAALAr_reverse	ALAALAr_reverse	adp_c + alaala_c + h_c + pi_c --> 2.0 ala__D_c + atp_c	29
GLUR_reverse	GLUR_reverse	glu__L_c --> glu__D_c	0.5
PGAMT_reverse	PGAMT_reverse	gam6p_c --> gam1p_c	3.4
T2DECAI_reverse	T2DECAI_reverse	cdec3eACP_c --> tdec2eACP_c	0.0
G1PTT_reverse	G1PTT_reverse	dtdpglu_c + ppi_c --> dttp_c + g1p_c + h_c	-1.8
GALUi_reverse_num1	GALUi_reverse_num1	ppi_c + udpg_c --> g1p_c + h_c + utp_c	3.2
PAPPT3_reverse	PAPPT3_reverse	uagmda_c + ump_c --> udcpp_c + ugmda_c	1.7
ACONTa_reverse	ACONTa_reverse	acon_C_c + h2o_c --> cit_c	-9.2
ACONTb_reverse	ACONTb_reverse	icit_c --> acon_C_c + h2o_c	1.4
FUM_reverse	FUM_reverse	mal__L_c --> fum_c + h2o_c	3.43
MDH_reverse	MDH_reverse	h_c + nadh_c + oaa_c --> mal__L_c + nad_c	-25.38
PYRC_reverse	PYRC_reverse	adp_c + h_c + oaa_c + pi_c --> atp_c + hco3_c + pyr_c	7.8
AMAOTr_reverse	AMAOTr_reverse	amob_c + dann_c --> 8aonn_c + amet_c	1.774850272742299
DHFR_reverse	DHFR_reverse	nadp_c + thf_c --> dhf_c + h_c + nadph_c	18.1
DHPTPE_reverse	DHPTPE_reverse	dhmptp_c --> ahdt_c	17
G1SAT_reverse	G1SAT_reverse	5aop_c --> glu1sa_c	9.5
GTHOr_reverse	GTHOr_reverse	2.0 gthrd_c + nadp_c --> gthox_c + h_c + nadph_c	12.2
ICHORS_reverse	ICHORS_reverse	ichor_c --> chor_c	-1.0
IPDDI_reverse	IPDDI_reverse	dmpp_c --> ipdp_c	4.8
OHPBAT_reverse	OHPBAT_reverse	akg_c + phthr_c --> glu__L_c + ohpb_c	-10.0
PY5PSH_reverse	PY5PSH_reverse	glu__L_c + 3.0 h2o_c + h_c + pi_c + pydx5p_c --> g3p_c + gln__L_c + r5p_c	308
NAMNPP_reverse	NAMNPP_reverse	adp_c + nicrnt_c + pi_c + ppi_c --> atp_c + h2o_c + nac_c + prpp_c	39.2
RBFK_reverse	RBFK_reverse	adp_c + fmn_c + h_c --> atp_c + ribflv_c	16.5
SERAT_reverse	SERAT_reverse	acser_c + coa_c --> accoa_c + ser__L_c	6.0
MTHFC_reverse	MTHFC_reverse	10fthf_c + h_c --> h2o_c + methf_c	5.0
MTHFD_reverse	MTHFD_reverse	methf_c + nadph_c --> mlthf_c + nadp_c	-5.5
GHMT2r_reverse	GHMT2r_reverse	gly_c + h2o_c + mlthf_c --> ser__L_c + thf_c	10.1
ENO_reverse	ENO_reverse	h2o_c + pep_c --> 2pg_c	3.89
FBA_reverse	FBA_reverse	dhap_c + g3p_c --> fdp_c	-23.7
GAPD_reverse_num1	GAPD_reverse_num1	13dpg_c + h_c + nadh_c --> g3p_c + nad_c + pi_c	-0.1
PGI_reverse	PGI_reverse	f6p_c --> g6p_c	-2.5
PGK_reverse	PGK_reverse	3pg_c + atp_c --> 13dpg_c + adp_c	19.5
PGM_reverse_num1	PGM_reverse_num1	2pg_c --> 3pg_c	-4.3
TPI_reverse	TPI_reverse	g3p_c --> dhap_c	-5.7
PRMICI_reverse	PRMICI_reverse	prlp_c --> prfp_c	9.8
PRPPS_reverse	PRPPS_reverse	amp_c + h_c + prpp_c --> atp_c + r5p_c	1.4
CAt6pp_reverse_num1	CAt6pp_reverse_num1	ca2_e + na1_c --> ca2_c + na1_e	0.0
MG2t3_2pp_reverse_num1	MG2t3_2pp_reverse_num1	2.0 h_e + mg2_c --> 2.0 h_c + mg2_e	0.0
NH4tpp_reverse_num1	NH4tpp_reverse_num1	nh4_c --> nh4_e	0.0
NO2t2rpp_reverse	NO2t2rpp_reverse	h_c + no2_c --> h_e + no2_e	0.0
O2tpp_reverse	O2tpp_reverse	o2_c --> o2_e	0.0
PIt2rpp_reverse	PIt2rpp_reverse	h_c + pi_c --> h_e + pi_e	0.0
MI2DH_reverse_num1	MI2DH_reverse_num1	2ins_c + h_c + nadh_c --> inost_c + nad_c	6.7
UAGAAT_reverse_num1	UAGAAT_reverse_num1	ACP_c + u3aga_c --> 3hmrsACP_c + uacgam_c	-0.0
ACACT1r_reverse	ACACT1r_reverse	aacoa_c + coa_c --> 2.0 accoa_c	-25.2
ACOAD1f_reverse	ACOAD1f_reverse	b2coa_c + fadh2_c --> btcoa_c + fad_c	-36
ACOAD2f_reverse	ACOAD2f_reverse	fadh2_c + hx2coa_c --> fad_c + hxcoa_c	-0.0
ACOAD3f_reverse	ACOAD3f_reverse	fadh2_c + oc2coa_c --> fad_c + occoa_c	-41.4
ACOAD4f_reverse	ACOAD4f_reverse	dc2coa_c + fadh2_c --> dcacoa_c + fad_c	-0.0
ACOAD5f_reverse	ACOAD5f_reverse	dd2coa_c + fadh2_c --> ddcacoa_c + fad_c	-41.4
ACOAD6f_reverse	ACOAD6f_reverse	fadh2_c + td2coa_c --> fad_c + tdcoa_c	-41.4
ACOAD7f_reverse	ACOAD7f_reverse	fadh2_c + hdd2coa_c --> fad_c + pmtcoa_c	-44.9
ACOAD8f_reverse	ACOAD8f_reverse	fadh2_c + od2coa_c --> fad_c + stcoa_c	-41.4
ACOATA_reverse_num1	ACOATA_reverse_num1	acACP_c + coa_c --> ACP_c + accoa_c	0.0
MCOATA_reverse_num1	MCOATA_reverse_num1	coa_c + malACP_c --> ACP_c + malcoa_c	0.0
ADK1_reverse	ADK1_reverse	2.0 adp_c --> amp_c + atp_c	-0.52
ADK2_reverse	ADK2_reverse	adp_c + dadp_c --> atp_c + damp_c	-3.4
ADK3_reverse	ADK3_reverse	adp_c + gdp_c --> amp_c + gtp_c	-2.7
ADK4_reverse	ADK4_reverse	adp_c + idp_c --> amp_c + itp_c	0.7
CYTK1_reverse	CYTK1_reverse	adp_c + cdp_c --> atp_c + cmp_c	-2.0
CYTK2_reverse	CYTK2_reverse	adp_c + dcdp_c --> atp_c + dcmp_c	-2.0
DGK1_reverse	DGK1_reverse	adp_c + dgdp_c --> atp_c + dgmp_c	-5.3
DTMPK_reverse	DTMPK_reverse	adp_c + dtdp_c --> atp_c + dtmp_c	2.3
GK1_reverse	GK1_reverse	adp_c + gdp_c --> atp_c + gmp_c	0.1
NDPK1_reverse	NDPK1_reverse	adp_c + gtp_c --> atp_c + gdp_c	2.2
NDPK2_reverse	NDPK2_reverse	adp_c + utp_c --> atp_c + udp_c	-0.5
NDPK3_reverse	NDPK3_reverse	adp_c + ctp_c --> atp_c + cdp_c	-0.3
NDPK4_reverse	NDPK4_reverse	adp_c + dttp_c --> atp_c + dtdp_c	-0.8
NDPK5_reverse	NDPK5_reverse	adp_c + dgtp_c --> atp_c + dgdp_c	-1.7
NDPK6_reverse	NDPK6_reverse	adp_c + dutp_c --> atp_c + dudp_c	1.1
NDPK7_reverse	NDPK7_reverse	adp_c + dctp_c --> atp_c + dcdp_c	-3.8
NDPK8_reverse	NDPK8_reverse	adp_c + datp_c --> atp_c + dadp_c	-2.5
NNATr_reverse	NNATr_reverse	dnad_c + ppi_c --> atp_c + h_c + nicrnt_c	25
UMPK_reverse	UMPK_reverse	adp_c + udp_c --> atp_c + ump_c	-0.4
URIDK2r_reverse	URIDK2r_reverse	adp_c + dudp_c --> atp_c + dump_c	-0.6
ATPS4rpp_reverse	ATPS4rpp_reverse	atp_c + h2o_c + 3.0 h_c --> adp_c + 4.0 h_e + pi_c	-30.61
PPKr_reverse	PPKr_reverse	adp_c + ppi_c --> atp_c + pi_c	14.87
G6PDH2r_reverse	G6PDH2r_reverse	6pgl_c + h_c + nadph_c --> g6p_c + nadp_c	7.6
RPE_reverse	RPE_reverse	xu5p__D_c --> ru5p__D_c	3.4
RPI_reverse	RPI_reverse	ru5p__D_c --> r5p_c	-4.5
TALA_reverse	TALA_reverse	e4p_c + f6p_c --> g3p_c + s7p_c	1.2
TKT1_reverse	TKT1_reverse	g3p_c + s7p_c --> r5p_c + xu5p__D_c	1.5
TKT2_reverse	TKT2_reverse	f6p_c + g3p_c --> e4p_c + xu5p__D_c	10.5
ADSL1r_reverse	ADSL1r_reverse	amp_c + fum_c --> dcamp_c	-17.0
ADSL2r_reverse	ADSL2r_reverse	aicar_c + fum_c --> 25aics_c	-24.8
AICART_reverse	AICART_reverse	fprica_c + thf_c --> 10fthf_c + aicar_c	-14
AIRC3_reverse	AIRC3_reverse	5caiz_c --> 5aizc_c	0
DHORTS_reverse	DHORTS_reverse	cbasp_c + h_c --> dhor__S_c + h2o_c	8.4
GARFT_reverse	GARFT_reverse	fgam_c + h_c + thf_c --> 10fthf_c + gar_c	-1
IMPC_reverse	IMPC_reverse	fprica_c --> h2o_c + imp_c	-20
ORPT_reverse	ORPT_reverse	orot_c + prpp_c --> orot5p_c + ppi_c	1.7
PRAGSr_reverse	PRAGSr_reverse	adp_c + gar_c + h_c + pi_c --> atp_c + gly_c + pram_c	27.5
ACALD_reverse	ACALD_reverse	accoa_c + h_c + nadh_c --> acald_c + coa_c + nad_c	22.3
ACKr_reverse	ACKr_reverse	actp_c + adp_c --> ac_c + atp_c	-14.6
ALCD2x_reverse_num1	ALCD2x_reverse_num1	acald_c + h_c + nadh_c --> etoh_c + nad_c	-16.98
LDH_D_reverse	LDH_D_reverse	h_c + nadh_c + pyr_c --> lac__D_c + nad_c	-19.5
PTAr_reverse	PTAr_reverse	actp_c + coa_c --> accoa_c + pi_c	-9.4
ASAD_reverse	ASAD_reverse	4pasp_c + h_c + nadph_c --> aspsa_c + nadp_c + pi_c	25.4
ASPK_reverse	ASPK_reverse	4pasp_c + adp_c --> asp__L_c + atp_c	-21.8
DAPE_reverse	DAPE_reverse	26dap__M_c --> 26dap_LL_c	1.7
HSDy_reverse	HSDy_reverse	aspsa_c + h_c + nadph_c --> hom__L_c + nadp_c	-18.6
SDPTA_reverse	SDPTA_reverse	glu__L_c + sl2a6o_c --> akg_c + sl26da_c	1.3
26DAHtex_reverse	26DAHtex_reverse	26dap__M_c --> 26dap__M_e	0.0
3AMPtex_reverse	3AMPtex_reverse	3amp_c --> 3amp_e	0.0
3CMPtex_reverse	3CMPtex_reverse	3cmp_c --> 3cmp_e	0.0
3GMPtex_reverse	3GMPtex_reverse	3gmp_c --> 3gmp_e	0.0
3UMPtex_reverse	3UMPtex_reverse	3ump_c --> 3ump_e	0.0
ABUTtex_reverse	ABUTtex_reverse	4abut_c --> 4abut_e	0.0
ACALDtpp_reverse	ACALDtpp_reverse	acald_c --> acald_e	0.0
ACGAM1Ptex_reverse	ACGAM1Ptex_reverse	acgam1p_c --> acgam1p_e	0.0
ACGAtex_reverse	ACGAtex_reverse	acgam_c --> acgam_e	0.0
ACMANAtex_reverse	ACMANAtex_reverse	acmana_c --> acmana_e	0.0
ACSERtex_reverse	ACSERtex_reverse	acser_c --> acser_e	0.0
ACt2rpp_reverse	ACt2rpp_reverse	ac_c + h_c --> ac_e + h_e	0.0
ADEt2rpp_reverse	ADEt2rpp_reverse	ade_c + h_c --> ade_e + h_e	0.0
ADNt2rpp_reverse	ADNt2rpp_reverse	adn_c + h_c --> adn_e + h_e	0.0
AKGt2rpp_reverse	AKGt2rpp_reverse	akg_c + h_c --> akg_e + h_e	0.0
ALAALAtex_reverse	ALAALAtex_reverse	alaala_c --> alaala_e	0.0
ALAtex_reverse	ALAtex_reverse	ala__L_c --> ala__L_e	0.0
AMPtex_reverse	AMPtex_reverse	amp_c --> amp_e	0.0
ARGORNt7pp_reverse	ARGORNt7pp_reverse	arg__L_c + orn_e --> arg__L_e + orn_c	0.0
ASNt2rpp_reverse	ASNt2rpp_reverse	asn__L_c + h_c --> asn__L_e + h_e	0.0
BALAtex_reverse	BALAtex_reverse	ala_B_c --> ala_B_e	0.0
CGLYtex_reverse	CGLYtex_reverse	cgly_c --> cgly_e	0.0
